timestamp,background,hometown,ai_definition,ai_interest,song_title,song_artist,taste_text,participant_id
2026-08-01 10:00:00,Computer Science,"Bogota, Colombia","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",AI in education,Not Like Us,Kendrick Lamar,It reminds me of home and makes me think about memory and identity.,13d84e29
2026-08-02 10:01:00,Psychology,"Durham, NC",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,responsible AI,Blinding Lights,The Weeknd,"It feels joyful and social, like being in a room with friends.",6ee7808d
2026-08-03 10:02:00,Information Science,"Raleigh, NC",AI is a computer system that learns patterns from data to make predictions or support decisions.,data privacy,Texas Hold 'Em,Beyonce,"It feels energetic and optimistic, like starting a project with momentum.",86c8708c
2026-08-04 10:03:00,Public Policy,"Charlotte, NC",AI is a computer system that learns patterns from data to make predictions or support decisions.,data privacy,Blinding Lights,The Weeknd,"It feels joyful and social, like being in a room with friends.",9a15fcdc
2026-08-05 10:04:00,Computer Science,"Mumbai, India","AI is technology that turns data into actions, recommendations, or new content.",data privacy,"Good Luck, Babe!",Chappell Roan,It reminds me of home and makes me think about memory and identity.,db4e7b01
2026-08-06 10:05:00,Information Science,"Durham, NC","AI is technology that turns data into actions, recommendations, or new content.",creative coding,Texas Hold 'Em,Beyonce,It reminds me of home and makes me think about memory and identity.,fef04e15
2026-08-07 10:06:00,Biology,"Durham, NC",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,creative coding,Clair de Lune,Debussy,"It is calm and focused, the kind of song I play when I need to think.",d456fc2e
2026-08-08 10:07:00,Economics,"Durham, NC","AI is technology that turns data into actions, recommendations, or new content.",creative coding,Blinding Lights,The Weeknd,"It feels energetic and optimistic, like starting a project with momentum.",3df83008
2026-08-09 10:08:00,Biology,"Bogota, Colombia","AI is technology that turns data into actions, recommendations, or new content.",data privacy,Tití Me Preguntó,Bad Bunny,"It feels joyful and social, like being in a room with friends.",71e90bb4
2026-08-10 10:09:00,Computer Science,"Durham, NC","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",data privacy,Not Like Us,Kendrick Lamar,"It is calm and focused, the kind of song I play when I need to think.",a650949a
2026-08-11 10:10:00,Economics,"New York, NY","AI is technology that turns data into actions, recommendations, or new content.",AI in education,Lovely Day,Bill Withers,"It is calm and focused, the kind of song I play when I need to think.",8aeb2212
2026-08-12 10:11:00,English,"Raleigh, NC","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",data privacy,Tití Me Preguntó,Bad Bunny,"It is calm and focused, the kind of song I play when I need to think.",9b285599
2026-08-13 10:12:00,Computer Science,"Charlotte, NC","AI is technology that turns data into actions, recommendations, or new content.",responsible AI,Clair de Lune,Debussy,"It feels energetic and optimistic, like starting a project with momentum.",a3efa40f
2026-08-14 10:13:00,English,"Durham, NC",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,creative coding,Lovely Day,Bill Withers,"It feels energetic and optimistic, like starting a project with momentum.",94ca44c6
2026-08-15 10:14:00,Public Policy,"New York, NY","AI is a tool for augmenting human judgment, creativity, and problem solving.",creative coding,Lovely Day,Bill Withers,"It feels joyful and social, like being in a room with friends.",f8943fff
2026-08-16 10:15:00,Statistics,"Bogota, Colombia",AI is a computer system that learns patterns from data to make predictions or support decisions.,creative coding,Blinding Lights,The Weeknd,It reminds me of home and makes me think about memory and identity.,9c56ad0e
2026-08-17 10:16:00,English,"Bogota, Colombia","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",responsible AI,"Good Luck, Babe!",Chappell Roan,"It feels energetic and optimistic, like starting a project with momentum.",5c961473
2026-08-18 10:17:00,Public Policy,"Austin, TX","AI is technology that turns data into actions, recommendations, or new content.",creative coding,"Good Luck, Babe!",Chappell Roan,"It feels joyful and social, like being in a room with friends.",41d68388
2026-08-19 10:18:00,Public Policy,"New York, NY",AI is a computer system that learns patterns from data to make predictions or support decisions.,responsible AI,Texas Hold 'Em,Beyonce,"It is calm and focused, the kind of song I play when I need to think.",02f2864a
2026-08-20 10:19:00,English,"Charlotte, NC","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",data privacy,Clair de Lune,Debussy,"It feels joyful and social, like being in a room with friends.",01dfb66c
2026-08-21 10:20:00,Information Science,"Chapel Hill, NC","AI is a tool for augmenting human judgment, creativity, and problem solving.",data privacy,Not Like Us,Kendrick Lamar,It reminds me of home and makes me think about memory and identity.,af465b11
2026-08-22 10:21:00,English,"Austin, TX",AI is a computer system that learns patterns from data to make predictions or support decisions.,AI in education,Texas Hold 'Em,Beyonce,It reminds me of home and makes me think about memory and identity.,15750b2c
2026-08-23 10:22:00,Mathematics,"New York, NY","AI is a tool for augmenting human judgment, creativity, and problem solving.",responsible AI,Tití Me Preguntó,Bad Bunny,"It feels joyful and social, like being in a room with friends.",416339d4
2026-08-24 10:23:00,Psychology,"Bogota, Colombia",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,creative coding,Not Like Us,Kendrick Lamar,"It feels joyful and social, like being in a room with friends.",e90a565d
2026-08-25 10:24:00,Economics,"Charlotte, NC",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,responsible AI,Lovely Day,Bill Withers,"It feels joyful and social, like being in a room with friends.",beb44e27
2026-08-26 10:25:00,Biology,"Bogota, Colombia",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,creative coding,"Good Luck, Babe!",Chappell Roan,"It feels joyful and social, like being in a room with friends.",a4818fcb
2026-08-27 10:26:00,Statistics,"Durham, NC",AI is a computer system that learns patterns from data to make predictions or support decisions.,creative coding,Fast Car,Tracy Chapman,"It feels energetic and optimistic, like starting a project with momentum.",d8c610b5
2026-08-28 10:27:00,Mathematics,"Durham, NC",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,data privacy,Not Like Us,Kendrick Lamar,"It is calm and focused, the kind of song I play when I need to think.",d4222e2b
2026-08-01 10:28:00,Economics,"Austin, TX","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",responsible AI,Texas Hold 'Em,Beyonce,"It feels energetic and optimistic, like starting a project with momentum.",df54c2a6
2026-08-02 10:29:00,Statistics,"Mumbai, India","AI is technology that turns data into actions, recommendations, or new content.",AI in education,Fast Car,Tracy Chapman,It reminds me of home and makes me think about memory and identity.,2747fa8b
2026-08-03 10:30:00,Business,"Durham, NC","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",AI in education,"Good Luck, Babe!",Chappell Roan,"It is calm and focused, the kind of song I play when I need to think.",36dc1cad
2026-08-04 10:31:00,Public Policy,"Mumbai, India","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",creative coding,Lovely Day,Bill Withers,It reminds me of home and makes me think about memory and identity.,f0cf895e
2026-08-05 10:32:00,Psychology,"Chapel Hill, NC","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",AI in education,Lovely Day,Bill Withers,"It feels joyful and social, like being in a room with friends.",025d8544
2026-08-06 10:33:00,Biology,"Bogota, Colombia","AI is a tool for augmenting human judgment, creativity, and problem solving.",data privacy,Clair de Lune,Debussy,"It feels energetic and optimistic, like starting a project with momentum.",713820f3
2026-08-07 10:34:00,Public Policy,"Charlotte, NC","AI is technology that turns data into actions, recommendations, or new content.",responsible AI,Texas Hold 'Em,Beyonce,It reminds me of home and makes me think about memory and identity.,bbe020bd
2026-08-08 10:35:00,Biology,"Chapel Hill, NC","AI is technology that turns data into actions, recommendations, or new content.",data privacy,Lovely Day,Bill Withers,"It is calm and focused, the kind of song I play when I need to think.",901d1283
2026-08-09 10:36:00,Economics,"Austin, TX",AI is a computer system that learns patterns from data to make predictions or support decisions.,data privacy,Not Like Us,Kendrick Lamar,It reminds me of home and makes me think about memory and identity.,c5c0bbdd
2026-08-10 10:37:00,Public Policy,"Charlotte, NC","AI is technology that turns data into actions, recommendations, or new content.",data privacy,Texas Hold 'Em,Beyonce,"It is calm and focused, the kind of song I play when I need to think.",17d447ba
2026-08-11 10:38:00,Economics,"Raleigh, NC","AI is technology that turns data into actions, recommendations, or new content.",creative coding,Blinding Lights,The Weeknd,"It is calm and focused, the kind of song I play when I need to think.",6beb90aa
2026-08-12 10:39:00,Information Science,"Mumbai, India",AI is a computer system that learns patterns from data to make predictions or support decisions.,data privacy,Tití Me Preguntó,Bad Bunny,"It feels joyful and social, like being in a room with friends.",8d574e17
2026-08-13 10:40:00,Computer Science,"Mumbai, India",AI is software that imitates parts of human reasoning by recognizing patterns and generating responses.,AI in education,Fast Car,Tracy Chapman,"It feels joyful and social, like being in a room with friends.",a8b7cade
2026-08-14 10:41:00,Biology,"Chapel Hill, NC","AI is a set of methods that helps machines perceive, learn, and adapt from examples.",AI in education,Texas Hold 'Em,Beyonce,"It feels energetic and optimistic, like starting a project with momentum.",eae63383
